name,help,type,message,file,start_line,start_offset,end_line,end_offset
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_pip_sp.cpp,1145,0,1145,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_zones.cpp,1710,0,1710,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,5538,0,5538,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,440,0,440,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/qcommon/com_player_data_objectstore.cpp,188,0,188,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/netconststrings/NetConstStrings_dvar.cpp,196,0,196,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_zones.cpp,345,0,345,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_moving_platforms_sp.cpp,80,0,80,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_zones.cpp,383,0,383,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/database/db_zones.cpp,1723,0,1723,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,5548,0,5548,0
Buffer not null terminated,Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/online/online_archive_replay_playback.cpp,1412,0,1412,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_enumerate.cpp,1740,0,1740,0
Illegal address computation,Suspicious,OVERRUN,Illegal address computation,/code/src/lui/LUI_CoD_Functions.cpp,5723,0,5723,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_storage.cpp,1640,0,1640,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_storage.cpp,1692,0,1692,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_player_data.cpp,316,0,316,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_shared/cgame/ClientModel/CG_ClientModel.cpp,5127,0,5127,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/online_userprofiles/online_userprofiles_manager.cpp,377,0,377,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/net_packet.cpp,214,0,214,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_player_data.cpp,310,0,310,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/bgame/vehicles/bg_vehicle_leanout.cpp,1518,0,1518,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/dynentity/DynEntity_client.cpp,2366,0,2366,0
